shot_id_number,power_of_shot,knockout_match,game_season,is_goal,home/away,lat/lng,type_of_shot,type_of_combined_shot,match_id,distance_of_shot_avg,remaining_min_1,area_of_shot_Center(C),area_of_shot_Left Side Center(LC),area_of_shot_Left Side(L),area_of_shot_Mid Ground(MG),area_of_shot_Right Side Center(RC),area_of_shot_Right Side(R),area_of_shot_U,shot_basics_Goal Area,shot_basics_Goal Line,shot_basics_Left Corner,shot_basics_Mid Ground Line,shot_basics_Mid Range,shot_basics_Penalty Spot,shot_basics_Right Corner,shot_basics_U
31,4.0,0.0,2000-01,1.0,UTA,1,shot - 44,0,20000019,32.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,4.0,0.0,2000-01,0.0,UTA,1,0,shot - 3,20000019,35.7,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
33,1.0,0.0,2000-01,5.0,VAN,0,shot - 34,0,20000047,37.0,11.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34,1.0,0.0,2000-01,5.0,VAN,0,0,shot - 3,20000047,40.0,10.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,1.0,0.0,2000-01,5.0,VAN,0,shot - 39,0,20000047,21.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1.0,0.0,2000-01,5.0,VAN,0,shot - 39,0,20000047,52.7,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,1.0,0.0,2000-01,5.0,VAN,0,0,shot - 4,20000047,39.7,108.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2.0,0.0,2000-01,5.0,VAN,0,shot - 1,0,20000047,36.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
39,2.0,0.0,2000-01,1.0,VAN,0,0,shot - 3,20000047,40.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40,2.0,0.0,2000-01,1.0,VAN,0,0,shot - 3,20000047,47.0,75.64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,3.0,0.0,2000-01,0.0,VAN,0,0,shot - 3,20000047,47.7,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,3.0,0.0,2000-01,1.0,VAN,0,shot - 39,0,20000047,20.0,36.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,3.0,0.0,2000-01,1.0,VAN,0,0,shot - 3,20000047,40.0,101.64,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,3.0,0.0,2000-01,0.0,VAN,0,0,shot - 3,20000047,25.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,3.0,0.0,2000-01,5.0,VAN,0,shot - 39,0,20000047,22.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,3.0,0.0,2000-01,1.0,VAN,0,shot - 39,0,20000047,20.0,40.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,3.0,0.0,2000-01,0.0,VAN,0,0,shot - 1,20000047,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,3.0,0.0,2000-01,1.0,VAN,0,shot - 12,0,20000047,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,4.0,0.0,2000-01,1.0,VAN,0,0,shot - 3,20000047,37.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,4.0,0.0,2000-01,5.0,VAN,0,0,shot - 3,20000047,37.0,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,4.0,0.0,2000-01,0.0,VAN,0,shot - 39,0,20000047,62.2,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,4.0,0.0,2000-01,0.0,VAN,0,shot - 39,0,20000047,21.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,1.0,0.0,2000-01,0.0,LAC,1,shot - 25,0,20000049,27.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1.0,0.0,2000-01,0.0,LAC,1,0,shot - 3,20000049,38.0,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,1.0,0.0,2000-01,5.0,LAC,1,0,shot - 3,20000049,48.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56,1.0,0.0,2000-01,0.0,LAC,1,0,shot - 3,20000049,44.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57,2.0,0.0,2000-01,1.0,LAC,1,shot - 37,0,20000049,42.0,11.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2.0,0.0,2000-01,1.0,LAC,1,0,shot - 4,20000049,20.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2.0,0.0,2000-01,1.0,LAC,1,0,shot - 1,20000049,20.0,52.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,2.0,0.0,2000-01,5.0,LAC,1,shot - 14,0,20000049,48.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61,2.0,0.0,2000-01,0.0,LAC,1,shot - 36,0,20000049,31.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,2.0,0.0,2000-01,5.0,LAC,1,shot - 39,0,20000049,25.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,3.0,0.0,2000-01,0.0,LAC,1,0,shot - 4,20000049,20.0,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,3.0,0.0,2000-01,0.0,LAC,1,0,shot - 4,20000049,25.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,3.0,0.0,2000-01,1.0,LAC,1,shot - 44,0,20000049,32.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
66,4.0,0.0,2000-01,5.0,LAC,1,0,shot - 3,20000049,29.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,1.0,0.0,2000-01,5.0,HOU,0,0,shot - 3,20000058,32.0,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
68,1.0,0.0,2000-01,0.0,HOU,0,shot - 21,0,20000058,43.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
69,1.0,0.0,2000-01,1.0,HOU,0,shot - 4,0,20000058,20.0,7.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
70,1.0,0.0,2000-01,1.0,HOU,0,0,shot - 1,20000058,20.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,1.0,0.0,2000-01,5.0,HOU,0,shot - 9,0,20000058,39.0,5.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
72,1.0,0.0,2000-01,5.0,HOU,0,0,shot - 3,20000058,45.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,2.0,0.0,2000-01,1.0,HOU,0,0,shot - 4,20000058,20.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,2.0,0.0,2000-01,0.0,HOU,0,shot - 0,0,20000058,27.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2.0,0.0,2000-01,0.0,HOU,0,shot - 1,0,20000058,45.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
76,3.0,0.0,2000-01,5.0,HOU,0,shot - 36,0,20000058,42.0,11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
77,3.0,0.0,2000-01,0.0,HOU,0,shot - 1,0,20000058,25.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,3.0,0.0,2000-01,0.0,HOU,0,shot - 36,0,20000058,33.0,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
79,3.0,0.0,2000-01,0.0,HOU,0,shot - 2,0,20000058,28.0,66.64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
80,4.0,0.0,2000-01,5.0,HOU,0,shot - 22,0,20000058,20.2,34.64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,4.0,0.0,2000-01,1.0,HOU,0,shot - 20,0,20000058,33.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,4.0,0.0,2000-01,0.0,HOU,0,0,shot - 3,20000058,41.2,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,1.0,0.0,2000-01,0.0,SAS,0,shot - 15,0,20000068,44.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
84,1.0,0.0,2000-01,0.0,SAS,0,shot - 12,0,20000068,20.0,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,1.0,0.0,2000-01,5.0,SAS,0,0,shot - 3,20000068,27.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,1.0,0.0,2000-01,5.0,SAS,0,0,shot - 3,20000068,33.0,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
87,1.0,0.0,2000-01,5.0,SAS,0,shot - 10,0,20000068,38.0,6.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
88,1.0,0.0,2000-01,1.0,SAS,0,shot - 10,0,20000068,39.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1.0,0.0,2000-01,1.0,SAS,0,0,shot - 3,20000068,35.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
90,1.0,0.0,2000-01,1.0,SAS,0,shot - 15,0,20000068,34.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
91,1.0,0.0,2000-01,1.0,SAS,0,0,shot - 3,20000068,35.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,1.0,0.0,2000-01,5.0,SAS,0,shot - 54,0,20000068,35.0,34.64,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
93,2.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,33.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
94,2.0,0.0,2000-01,0.0,SAS,0,shot - 49,0,20000068,35.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
95,2.0,0.0,2000-01,5.0,SAS,0,0,shot - 3,20000068,63.7,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
96,2.0,0.0,2000-01,1.0,SAS,0,0,shot - 3,20000068,50.2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,2.0,0.0,2000-01,5.0,SAS,0,shot - 12,0,20000068,38.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
98,2.0,0.0,2000-01,0.0,SAS,0,shot - 51,0,20000068,44.0,116.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,3.0,0.0,2000-01,1.0,SAS,0,0,shot - 3,20000068,34.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100,3.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,24.0,90.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,3.0,0.0,2000-01,0.0,SAS,0,shot - 0,0,20000068,35.0,9.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,3.0,0.0,2000-01,1.0,SAS,0,0,shot - 1,20000068,20.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,3.0,0.0,2000-01,1.0,SAS,0,shot - 54,0,20000068,37.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
104,3.0,0.0,2000-01,5.0,SAS,0,shot - 52,0,20000068,54.7,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
105,3.0,0.0,2000-01,0.0,SAS,0,shot - 15,0,20000068,32.0,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106,3.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,39.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
107,3.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,70.86399999999999,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
108,4.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,31.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,4.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,36.0,45.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
110,4.0,0.0,2000-01,1.0,SAS,0,0,shot - 3,20000068,36.0,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
111,4.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,29.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
112,4.0,0.0,2000-01,0.0,SAS,0,0,shot - 3,20000068,27.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,4.0,0.0,2000-01,5.0,SAS,0,shot - 49,0,20000068,45.7,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
114,1.0,0.0,2000-01,0.0,HOU,1,shot - 17,0,20000098,41.0,11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
115,1.0,0.0,2000-01,0.0,HOU,1,shot - 4,0,20000098,20.0,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116,1.0,0.0,2000-01,0.0,HOU,1,shot - 46,0,20000098,20.0,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,1.0,0.0,2000-01,0.0,HOU,1,0,shot - 5,20000098,20.0,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,1.0,0.0,2000-01,1.0,HOU,1,0,shot - 1,20000098,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,1.0,0.0,2000-01,1.0,HOU,1,0,shot - 4,20000098,20.0,102.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,1.0,0.0,2000-01,0.0,HOU,1,0,shot - 3,20000098,36.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
121,2.0,0.0,2000-01,1.0,HOU,1,shot - 36,0,20000098,25.2,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
122,2.0,0.0,2000-01,5.0,HOU,1,shot - 32,0,20000098,20.0,21.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,2.0,0.0,2000-01,5.0,HOU,1,shot - 4,0,20000098,36.0,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
124,2.0,0.0,2000-01,1.0,HOU,1,shot - 54,0,20000098,61.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,2.0,0.0,2000-01,1.0,HOU,1,0,shot - 3,20000098,47.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126,3.0,0.0,2000-01,5.0,HOU,1,0,shot - 3,20000098,49.2,9.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
127,3.0,0.0,2000-01,1.0,HOU,1,0,shot - 3,20000098,35.0,8.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
128,3.0,0.0,2000-01,1.0,HOU,1,0,shot - 3,20000098,35.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
129,3.0,0.0,2000-01,0.0,HOU,1,shot - 42,0,20000098,35.0,4.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
130,3.0,0.0,2000-01,0.0,HOU,1,shot - 12,0,20000098,37.0,54.64,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
131,3.0,0.0,2000-01,0.0,HOU,1,shot - 21,0,20000098,29.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,3.0,0.0,2000-01,1.0,HOU,1,0,shot - 3,20000098,31.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,3.0,0.0,2000-01,5.0,HOU,1,shot - 46,0,20000098,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134,3.0,0.0,2000-01,5.0,HOU,1,0,shot - 3,20000098,29.364,2.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
135,3.0,0.0,2000-01,0.0,HOU,1,0,shot - 3,20000098,37.0,76.7616,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
136,4.0,0.0,2000-01,0.0,HOU,1,0,shot - 3,20000098,24.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,4.0,0.0,2000-01,0.0,HOU,1,0,shot - 3,20000098,66.7,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
138,4.0,0.0,2000-01,0.0,HOU,1,shot - 17,0,20000098,32.7,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139,4.0,0.0,2000-01,1.0,HOU,1,0,shot - 1,20000098,28.7,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,4.0,0.0,2000-01,1.0,HOU,1,shot - 44,0,20000098,25.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,4.0,0.0,2000-01,5.0,HOU,1,0,shot - 3,20000098,19.2,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,4.0,0.0,2000-01,0.0,HOU,1,0,shot - 5,20000098,20.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,1.0,0.0,2000-01,0.0,DEN,1,shot - 4,0,20000108,20.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,1.0,0.0,2000-01,5.0,DEN,1,shot - 45,0,20000108,43.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
145,1.0,0.0,2000-01,1.0,DEN,1,0,shot - 1,20000108,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,1.0,0.0,2000-01,1.0,DEN,1,0,shot - 3,20000108,32.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
147,1.0,0.0,2000-01,1.0,DEN,1,shot - 0,0,20000108,33.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
148,2.0,0.0,2000-01,0.0,DEN,1,shot - 11,0,20000108,38.0,11.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
149,2.0,0.0,2000-01,0.0,DEN,1,0,shot - 3,20000108,47.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
150,2.0,0.0,2000-01,5.0,DEN,1,shot - 4,0,20000108,20.0,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,2.0,0.0,2000-01,1.0,DEN,1,0,shot - 3,20000108,40.0,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
152,2.0,0.0,2000-01,5.0,DEN,1,shot - 32,0,20000108,36.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,2.0,0.0,2000-01,5.0,DEN,1,shot - 4,0,20000108,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,2.0,0.0,2000-01,0.0,DEN,1,shot - 39,0,20000108,20.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,2.0,0.0,2000-01,0.0,DEN,1,shot - 4,0,20000108,20.0,36.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,2.0,0.0,2000-01,5.0,DEN,1,0,shot - 5,20000108,20.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,3.0,0.0,2000-01,0.0,DEN,1,0,shot - 3,20000108,40.0,10.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
158,3.0,0.0,2000-01,0.0,DEN,1,0,shot - 3,20000108,27.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,3.0,0.0,2000-01,5.0,DEN,1,shot - 24,0,20000108,43.364,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,3.0,0.0,2000-01,1.0,DEN,1,shot - 32,0,20000108,20.0,109.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
161,4.0,0.0,2000-01,1.0,DEN,1,0,shot - 3,20000108,45.0,112.64,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
162,4.0,0.0,2000-01,1.0,DEN,1,0,shot - 4,20000108,20.0,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,4.0,0.0,2000-01,1.0,DEN,1,shot - 12,0,20000108,20.0,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,4.0,0.0,2000-01,0.0,DEN,1,shot - 39,0,20000108,20.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,4.0,0.0,2000-01,5.0,DEN,1,shot - 56,0,20000108,48.4,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166,1.0,0.0,2000-01,1.0,SAC,0,shot - 54,0,20000124,41.0,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
167,1.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,41.0,112.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
168,1.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,36.0,8.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
169,1.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,27.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,1.0,0.0,2000-01,0.0,SAC,0,0,shot - 4,20000124,20.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,1.0,0.0,2000-01,1.0,SAC,0,shot - 12,0,20000124,25.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
172,1.0,0.0,2000-01,5.0,SAC,0,0,shot - 3,20000124,25.2,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
173,1.0,0.0,2000-01,0.0,SAC,0,shot - 2,0,20000124,40.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
174,2.0,0.0,2000-01,1.0,SAC,0,shot - 11,0,20000124,41.0,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
175,2.0,0.0,2000-01,1.0,SAC,0,0,shot - 3,20000124,36.0,102.64,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
176,2.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,46.2,75.64,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
177,2.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,36.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
178,2.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,67.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
179,3.0,0.0,2000-01,0.0,SAC,0,0,shot - 3,20000124,33.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
