shot_id_number,power_of_shot,knockout_match,is_goal_x,home/away,type_of_shot,type_of_combined_shot,distance_of_shot_avg,remaining_min_1,opposing_team,match_id_n,area_of_shot_n,shot_basics_n,game_season_n
563,2.0,0.0,0.0,1,shot - 36,0,33.0,10.0,92.0,6.0,1117.0,3851.0,698.0
830,1.0,0.0,0.0,1,shot - 27,0,32.0,8.0,92.0,9.0,1117.0,3851.0,698.0
842,3.0,0.0,0.0,1,shot - 36,0,33.0,11.0,92.0,9.0,1117.0,3851.0,698.0
845,4.0,0.0,1.0,1,shot - 44,0,33.0,4.0,92.0,9.0,1117.0,3851.0,698.0
846,4.0,0.0,1.0,1,shot - 1,0,36.0,3.0,92.0,9.0,1117.0,3851.0,698.0
848,4.0,0.0,1.0,1,shot - 15,0,50.7,1.0,92.0,9.0,1117.0,3851.0,698.0
849,4.0,0.0,0.0,1,0,shot - 3,36.0,0.0,92.0,9.0,1117.0,3851.0,698.0
1221,1.0,0.0,1.0,0,shot - 11,0,39.0,0.0,92.0,5.0,1117.0,3851.0,698.0
54,1.0,0.0,0.0,1,0,shot - 3,38.0,10.0,467.0,4.0,1117.0,3851.0,698.0
758,1.0,0.0,1.0,1,0,shot - 3,37.0,7.0,467.0,8.0,1117.0,3851.0,698.0
78,3.0,0.0,0.0,0,shot - 36,0,33.0,7.0,585.0,4.0,1117.0,3851.0,698.0
128,3.0,0.0,1.0,1,0,shot - 3,35.0,5.0,585.0,10.0,1117.0,3851.0,698.0
129,3.0,0.0,0.0,1,shot - 42,0,35.0,4.0,585.0,10.0,1117.0,3851.0,698.0
130,3.0,0.0,0.0,1,shot - 12,0,37.0,54.64,585.0,10.0,1117.0,3851.0,698.0
137,4.0,0.0,0.0,1,0,shot - 3,66.7,6.0,585.0,10.0,1117.0,3851.0,698.0
640,2.0,0.0,1.0,0,0,shot - 3,32.0,4.0,585.0,17.0,1117.0,3851.0,698.0
643,3.0,0.0,1.0,0,0,shot - 3,30.0,9.0,585.0,17.0,1117.0,3851.0,698.0
869,3.0,0.0,1.0,1,0,shot - 3,33.0,7.0,585.0,10.0,1117.0,3851.0,698.0
871,3.0,0.0,0.0,1,shot - 31,0,32.0,2.0,585.0,10.0,1117.0,3851.0,698.0
106,3.0,0.0,0.0,0,0,shot - 3,39.0,0.0,672.0,9.0,1117.0,3851.0,698.0
107,3.0,0.0,0.0,0,0,shot - 3,70.86399999999998,0.0,672.0,9.0,1117.0,3851.0,698.0
110,4.0,0.0,1.0,0,0,shot - 3,36.0,6.0,672.0,9.0,1117.0,3851.0,698.0
344,2.0,0.0,0.0,1,0,shot - 3,37.0,4.0,672.0,14.0,1117.0,3851.0,698.0
1302,1.0,0.0,0.0,1,shot - 2,0,36.0,10.0,672.0,10.0,1117.0,3851.0,698.0
1303,1.0,0.0,0.0,1,0,shot - 3,50.2,10.0,672.0,10.0,1117.0,3851.0,698.0
26348,1.0,1.0,0.0,0,0,shot - 3,35.0,7.0,672.0,15.0,1117.0,3851.0,698.0
26350,1.0,1.0,1.0,0,shot - 15,0,31.0,4.0,672.0,15.0,1117.0,3851.0,698.0
26371,4.0,1.0,0.0,0,0,shot - 3,37.0,9.0,672.0,15.0,1117.0,3851.0,698.0
26393,3.0,1.0,1.0,0,0,shot - 3,30.0,119.64,672.0,9.0,1117.0,3851.0,698.0
26395,3.0,1.0,0.0,0,shot - 29,0,32.0,109.64,672.0,9.0,1117.0,3851.0,698.0
26402,4.0,1.0,0.0,0,0,shot - 3,27.7,108.64,672.0,9.0,1117.0,3851.0,698.0
26412,2.0,1.0,0.0,1,shot - 28,0,34.0,10.0,672.0,10.0,1117.0,3851.0,698.0
26439,2.0,1.0,0.0,1,shot - 27,0,32.0,0.0,672.0,7.0,1117.0,3851.0,698.0
26440,3.0,1.0,0.0,1,0,shot - 3,31.0,10.0,672.0,7.0,1117.0,3851.0,698.0
26445,4.0,1.0,0.0,1,0,shot - 3,36.0,82.64,672.0,7.0,1117.0,3851.0,698.0
147,1.0,0.0,1.0,1,shot - 0,0,33.0,0.0,584.0,8.0,1117.0,3851.0,698.0
1192,1.0,0.0,1.0,0,0,shot - 3,35.0,11.0,584.0,15.0,1117.0,3851.0,698.0
1194,1.0,0.0,0.0,0,shot - 6,0,64.36399999999999,6.0,584.0,15.0,1117.0,3851.0,698.0
1205,3.0,0.0,0.0,0,shot - 51,0,34.0,7.0,584.0,15.0,1117.0,3851.0,698.0
1208,3.0,0.0,1.0,0,shot - 49,0,66.7,37.2,584.0,15.0,1117.0,3851.0,698.0
1216,4.0,0.0,1.0,0,shot - 9,0,37.0,1.0,584.0,15.0,1117.0,3851.0,698.0
1506,3.0,0.0,0.0,1,shot - 29,0,34.0,11.0,584.0,4.0,1117.0,3851.0,698.0
1509,3.0,0.0,0.0,1,shot - 9,0,37.364000000000004,4.0,584.0,4.0,1117.0,3851.0,698.0
168,1.0,0.0,0.0,0,0,shot - 3,36.0,8.0,617.0,7.0,1117.0,3851.0,698.0
1042,1.0,0.0,1.0,1,0,shot - 3,39.0,9.0,617.0,6.0,1117.0,3851.0,698.0
1053,2.0,0.0,1.0,1,shot - 1,0,40.0,1.0,617.0,6.0,1117.0,3851.0,698.0
1055,2.0,0.0,0.0,1,0,shot - 3,36.0,0.0,617.0,6.0,1117.0,3851.0,698.0
26259,2.0,1.0,0.0,1,0,shot - 3,38.0,9.0,617.0,7.0,1117.0,3851.0,698.0
26262,2.0,1.0,1.0,1,shot - 44,0,33.0,39.2,617.0,7.0,1117.0,3851.0,698.0
26279,1.0,1.0,1.0,1,shot - 44,0,35.0,7.0,617.0,8.0,1117.0,3851.0,698.0
26285,2.0,1.0,1.0,1,0,shot - 3,36.0,1.0,617.0,8.0,1117.0,3851.0,698.0
26296,1.0,1.0,1.0,0,0,shot - 3,37.0,35.64,617.0,9.0,1117.0,3851.0,698.0
26300,1.0,1.0,0.0,0,shot - 41,0,43.2,3.0,617.0,9.0,1117.0,3851.0,698.0
26303,2.0,1.0,0.0,0,shot - 16,0,37.0,8.0,617.0,9.0,1117.0,3851.0,698.0
26310,3.0,1.0,1.0,0,0,shot - 3,25.864,108.64,617.0,9.0,1117.0,3851.0,698.0
26324,1.0,1.0,0.0,0,0,shot - 3,38.0,2.0,617.0,14.0,1117.0,3851.0,698.0
26335,3.0,1.0,0.0,0,0,shot - 3,38.4,2.0,617.0,14.0,1117.0,3851.0,698.0
235,4.0,0.0,0.0,1,shot - 45,0,41.0,0.0,213.0,7.0,1117.0,3851.0,698.0
425,1.0,0.0,0.0,0,0,shot - 3,36.0,3.0,493.0,14.0,1117.0,3851.0,698.0
453,5.0,0.0,1.0,0,shot - 32,0,35.0,1.0,493.0,14.0,1117.0,3851.0,698.0
1259,3.0,0.0,0.0,0,0,shot - 3,36.0,10.0,493.0,7.0,1117.0,3851.0,698.0
1264,4.0,0.0,1.0,0,0,shot - 3,35.0,2.0,493.0,7.0,1117.0,3851.0,698.0
261,1.0,0.0,1.0,1,shot - 7,0,60.86400000000001,1.0,516.0,11.0,1117.0,3851.0,698.0
994,1.0,0.0,1.0,0,0,shot - 3,34.0,10.0,516.0,5.0,1117.0,3851.0,698.0
1003,2.0,0.0,0.0,0,shot - 49,0,36.0,91.64,516.0,5.0,1117.0,3851.0,698.0
1468,3.0,0.0,0.0,1,0,shot - 3,36.0,4.0,516.0,11.0,1117.0,3851.0,698.0
311,3.0,0.0,0.0,1,shot - 29,0,29.0,2.0,237.0,8.0,1117.0,3851.0,698.0
1156,2.0,0.0,0.0,0,shot - 43,0,42.0,0.0,237.0,8.0,1117.0,3851.0,698.0
1161,3.0,0.0,1.0,0,shot - 5,0,29.0,7.0,237.0,8.0,1117.0,3851.0,698.0
1166,4.0,0.0,0.0,0,0,shot - 3,36.0,11.0,237.0,8.0,1117.0,3851.0,698.0
1170,4.0,0.0,0.0,0,shot - 55,0,29.0,4.0,237.0,8.0,1117.0,3851.0,698.0
318,1.0,0.0,1.0,0,0,shot - 3,33.0,112.64,297.0,6.0,1117.0,3851.0,698.0
320,1.0,0.0,0.0,0,0,shot - 3,35.0,7.0,297.0,6.0,1117.0,3851.0,698.0
479,4.0,0.0,0.0,1,0,shot - 3,34.0,2.0,297.0,8.0,1117.0,3851.0,698.0
913,3.0,0.0,0.0,0,0,shot - 3,30.0,9.0,297.0,3.0,1117.0,3851.0,698.0
369,1.0,0.0,0.0,1,0,shot - 3,34.0,6.0,443.0,12.0,1117.0,3851.0,698.0
376,2.0,0.0,1.0,1,shot - 1,0,36.2,1.0,443.0,12.0,1117.0,3851.0,698.0
384,3.0,0.0,0.0,1,0,shot - 3,35.0,3.0,443.0,12.0,1117.0,3851.0,698.0
389,4.0,0.0,1.0,1,shot - 44,0,35.0,7.0,443.0,12.0,1117.0,3851.0,698.0
668,3.0,0.0,0.0,0,shot - 51,0,35.0,11.0,443.0,9.0,1117.0,3851.0,698.0
672,4.0,0.0,0.0,0,0,shot - 3,35.0,4.0,443.0,9.0,1117.0,3851.0,698.0
674,4.0,0.0,1.0,0,0,shot - 3,39.0,57.64,443.0,9.0,1117.0,3851.0,698.0
1181,2.0,0.0,1.0,0,0,shot - 3,65.86399999999999,2.0,443.0,5.0,1117.0,3851.0,698.0
1182,2.0,0.0,0.0,0,0,shot - 3,40.0,2.0,443.0,5.0,1117.0,3851.0,698.0
403,2.0,0.0,0.0,1,0,shot - 3,57.2,49.2,259.0,12.0,1117.0,3851.0,698.0
407,2.0,0.0,0.0,1,0,shot - 3,42.7,0.0,259.0,12.0,1117.0,3851.0,698.0
412,3.0,0.0,1.0,1,0,shot - 3,34.0,4.0,259.0,12.0,1117.0,3851.0,698.0
415,4.0,0.0,0.0,1,0,shot - 3,52.7,18.2,259.0,12.0,1117.0,3851.0,698.0
1122,2.0,1.0,0.0,0,shot - 37,0,37.0,3.0,259.0,6.0,1117.0,3851.0,698.0
1125,3.0,0.0,0.0,0,shot - 42,0,37.0,9.0,259.0,6.0,1117.0,3851.0,698.0
26499,1.0,1.0,1.0,0,shot - 32,0,30.0,94.64,259.0,11.0,1117.0,3851.0,698.0
26504,2.0,1.0,1.0,0,shot - 44,0,38.0,7.0,259.0,11.0,1117.0,3851.0,698.0
26510,3.0,1.0,0.0,0,shot - 2,0,39.0,0.0,259.0,11.0,1117.0,3851.0,698.0
26519,3.0,1.0,0.0,0,shot - 55,0,47.2,91.2,259.0,11.0,1117.0,3851.0,698.0
26525,4.0,1.0,1.0,0,shot - 44,0,30.0,1.0,259.0,11.0,1117.0,3851.0,698.0
26526,1.0,1.0,0.0,0,shot - 36,0,38.0,9.0,259.0,3.0,1117.0,3851.0,698.0
26537,4.0,1.0,1.0,0,shot - 44,0,59.7,2.0,259.0,3.0,1117.0,3851.0,698.0
26549,3.0,1.0,0.0,0,shot - 42,0,34.0,11.0,259.0,7.0,1117.0,3851.0,698.0
26553,3.0,1.0,0.0,0,shot - 42,0,46.2,7.0,259.0,7.0,1117.0,3851.0,698.0
500,3.0,0.0,0.0,1,shot - 17,0,65.7,0.0,246.0,11.0,1117.0,3851.0,698.0
1337,1.0,0.0,0.0,0,0,shot - 3,37.0,85.64,246.0,13.0,1117.0,3851.0,698.0
1339,2.0,0.0,0.0,0,0,shot - 3,36.0,3.0,246.0,13.0,1117.0,3851.0,698.0
1344,3.0,0.0,1.0,0,shot - 10,0,60.36400000000001,5.0,246.0,13.0,1117.0,3851.0,698.0
1345,3.0,0.0,1.0,0,0,shot - 3,37.0,3.0,246.0,13.0,1117.0,3851.0,698.0
1346,3.0,0.0,0.0,0,shot - 33,0,37.0,1.0,246.0,13.0,1117.0,3851.0,698.0
1350,4.0,0.0,1.0,0,shot - 38,0,37.0,9.0,246.0,13.0,1117.0,3851.0,698.0
1358,4.0,0.0,0.0,0,0,shot - 3,63.7,80.64,246.0,13.0,1117.0,3851.0,698.0
513,2.0,0.0,0.0,1,0,shot - 3,46.7,83.64,197.0,8.0,1117.0,3851.0,698.0
529,4.0,0.0,0.0,1,0,shot - 3,28.0,21.64,197.0,8.0,1117.0,3851.0,698.0
530,4.0,0.0,0.0,1,shot - 7,0,33.0,2.0,197.0,8.0,1117.0,3851.0,698.0
1431,3.0,0.0,0.0,0,shot - 7,0,31.0,34.64,197.0,4.0,1117.0,3851.0,698.0
577,1.0,0.0,0.0,0,0,shot - 3,67.36399999999999,83.64,240.0,11.0,1117.0,3851.0,698.0
579,1.0,0.0,1.0,0,shot - 8,0,40.0,6.0,240.0,11.0,1117.0,3851.0,698.0
580,1.0,0.0,1.0,0,shot - 32,0,35.0,34.64,240.0,11.0,1117.0,3851.0,698.0
581,3.0,0.0,0.0,0,0,shot - 3,41.0,25.64,240.0,11.0,1117.0,3851.0,698.0
584,1.0,0.0,0.0,0,shot - 54,0,59.7,1.0,240.0,11.0,1117.0,3851.0,698.0
593,4.0,0.0,0.0,0,0,shot - 3,67.86399999999999,11.0,240.0,11.0,1117.0,3851.0,698.0
598,4.0,0.0,1.0,0,0,shot - 3,42.0,4.0,240.0,11.0,1117.0,3851.0,698.0
1274,1.0,0.0,0.0,1,0,shot - 3,27.2,1.0,240.0,9.0,1117.0,3851.0,698.0
1291,3.0,0.0,1.0,1,shot - 54,0,34.0,0.0,240.0,9.0,1117.0,3851.0,698.0
1300,4.0,0.0,1.0,1,0,shot - 3,37.0,4.0,240.0,9.0,1117.0,3851.0,698.0
606,1.0,0.0,0.0,0,shot - 15,0,22.2,72.64,216.0,9.0,1117.0,3851.0,698.0
621,3.0,0.0,0.0,0,0,shot - 3,35.0,5.0,216.0,9.0,1117.0,3851.0,698.0
888,2.0,0.0,0.0,1,0,shot - 3,39.0,0.0,216.0,9.0,1117.0,3851.0,698.0
894,3.0,0.0,0.0,1,0,shot - 3,32.0,2.0,216.0,9.0,1117.0,3851.0,698.0
898,4.0,0.0,0.0,1,shot - 30,0,35.0,39.64,216.0,9.0,1117.0,3851.0,698.0
703,2.0,0.0,1.0,0,shot - 15,0,34.0,2.0,654.0,11.0,1117.0,3851.0,698.0
1067,1.0,0.0,0.0,1,shot - 42,0,32.7,119.64,654.0,12.0,1117.0,3851.0,698.0
1075,3.0,0.0,1.0,1,0,shot - 3,33.0,9.0,654.0,12.0,1117.0,3851.0,698.0
1081,4.0,0.0,0.0,1,shot - 48,0,62.864,11.0,654.0,12.0,1117.0,3851.0,698.0
1083,4.0,0.0,1.0,1,shot - 43,0,34.0,7.0,654.0,12.0,1117.0,3851.0,698.0
1084,4.0,0.0,0.0,1,shot - 7,0,37.0,68.64,654.0,12.0,1117.0,3851.0,698.0
1086,4.0,0.0,0.0,1,0,shot - 3,42.2,4.0,654.0,12.0,1117.0,3851.0,698.0
1089,4.0,0.0,1.0,1,0,shot - 3,31.0,1.0,654.0,12.0,1117.0,3851.0,698.0
1439,1.0,0.0,0.0,1,shot - 43,0,31.0,99.64,654.0,6.0,1117.0,3851.0,698.0
1440,1.0,0.0,1.0,1,shot - 52,0,32.0,10.0,654.0,6.0,1117.0,3851.0,698.0
1445,2.0,0.0,1.0,1,shot - 15,0,34.0,21.64,654.0,6.0,1117.0,3851.0,698.0
1446,2.0,0.0,0.0,1,shot - 36,0,38.7,29.64,654.0,6.0,1117.0,3851.0,698.0
1447,3.0,0.0,0.0,1,shot - 46,0,57.2,25.64,654.0,6.0,1117.0,3851.0,698.0
1452,4.0,0.0,0.0,1,0,shot - 3,35.0,11.0,654.0,6.0,1117.0,3851.0,698.0
791,3.0,0.0,1.0,1,shot - 0,0,64.86399999999999,7.0,214.0,8.0,1117.0,3851.0,698.0
793,3.0,0.0,0.0,1,0,shot - 3,29.0,43.2,214.0,8.0,1117.0,3851.0,698.0
798,4.0,0.0,0.0,1,shot - 27,0,31.0,7.0,214.0,8.0,1117.0,3851.0,698.0
802,4.0,0.0,1.0,1,shot - 44,0,33.0,4.0,214.0,8.0,1117.0,3851.0,698.0
972,1.0,0.0,0.0,0,shot - 28,0,34.0,4.0,214.0,8.0,1117.0,3851.0,698.0
973,1.0,0.0,0.0,0,0,shot - 3,35.0,3.0,214.0,8.0,1117.0,3851.0,698.0
977,2.0,0.0,0.0,0,0,shot - 3,33.0,4.0,214.0,8.0,1117.0,3851.0,698.0
987,3.0,0.0,1.0,0,shot - 15,0,34.0,5.0,214.0,8.0,1117.0,3851.0,698.0
923,1.0,0.0,0.0,1,shot - 4,0,53.7,5.0,175.0,7.0,1117.0,3851.0,698.0
933,2.0,0.0,1.0,1,shot - 10,0,30.0,0.0,175.0,7.0,1117.0,3851.0,698.0
1105,3.0,0.0,1.0,0,shot - 44,0,29.0,3.0,175.0,11.0,1117.0,3851.0,698.0
1107,4.0,0.0,1.0,0,shot - 15,0,33.0,6.0,175.0,11.0,1117.0,3851.0,698.0
953,3.0,0.0,0.0,0,0,shot - 3,38.0,11.0,256.0,9.0,1117.0,3851.0,698.0
960,4.0,0.0,1.0,0,shot - 14,0,35.0,89.64,256.0,9.0,1117.0,3851.0,698.0
961,4.0,0.0,0.0,0,0,shot - 3,36.0,7.0,256.0,9.0,1117.0,3851.0,698.0
1030,3.0,0.0,0.0,1,0,shot - 3,37.0,5.0,51.0,11.0,1117.0,3851.0,698.0
1040,4.0,0.0,0.0,1,shot - 46,0,35.0,0.0,51.0,11.0,1117.0,3851.0,698.0
1134,1.0,0.0,0.0,0,0,shot - 3,36.0,2.0,51.0,4.0,1117.0,3851.0,698.0
1144,3.0,0.0,0.0,0,0,shot - 3,35.0,5.0,51.0,4.0,1117.0,3851.0,698.0
1368,2.0,0.0,1.0,0,shot - 44,0,30.0,0.0,204.0,8.0,1117.0,3851.0,698.0
1372,3.0,0.0,0.0,0,shot - 43,0,34.0,7.0,204.0,8.0,1117.0,3851.0,698.0
1384,2.0,0.0,0.0,0,0,shot - 3,34.0,7.0,246.0,2.0,1117.0,3851.0,698.0
1389,3.0,0.0,0.0,0,0,shot - 3,35.0,9.0,246.0,2.0,1117.0,3851.0,698.0
1396,4.0,0.0,0.0,0,0,shot - 3,31.0,2.0,246.0,2.0,1117.0,3851.0,698.0
1406,2.0,0.0,0.0,0,shot - 29,0,30.0,24.64,192.0,8.0,1117.0,3851.0,698.0
1407,2.0,0.0,1.0,0,0,shot - 3,40.0,1.0,192.0,8.0,1117.0,3851.0,698.0
3,1.0,0.0,1.0,0,shot - 25,0,45.2,92.64,573.0,4.0,1102.0,3851.0,698.0
549,4.0,0.0,0.0,0,0,shot - 3,43.0,11.0,573.0,11.0,1102.0,3851.0,698.0
26200,1.0,1.0,0.0,1,shot - 10,0,63.36400000000001,7.0,573.0,8.0,1102.0,3851.0,698.0
26219,1.0,1.0,1.0,1,shot - 52,0,58.86400000000001,11.0,573.0,7.0,1102.0,3851.0,698.0
26233,1.0,1.0,0.0,0,shot - 30,0,41.0,7.0,573.0,6.0,1102.0,3851.0,698.0
26235,1.0,1.0,0.0,0,shot - 44,0,37.0,6.0,573.0,6.0,1102.0,3851.0,698.0
26241,2.0,1.0,1.0,0,0,shot - 3,41.0,5.0,573.0,6.0,1102.0,3851.0,698.0
19,3.0,0.0,0.0,1,0,shot - 3,71.2,11.0,507.0,7.0,1102.0,3851.0,698.0
24,3.0,0.0,1.0,1,0,shot - 3,38.0,5.0,507.0,7.0,1102.0,3851.0,698.0
562,1.0,0.0,0.0,1,shot - 31,0,35.7,4.0,92.0,6.0,1102.0,3851.0,698.0
832,1.0,0.0,1.0,1,0,shot - 3,38.0,4.0,92.0,9.0,1102.0,3851.0,698.0
836,2.0,0.0,1.0,1,shot - 44,0,72.2,7.0,92.0,9.0,1102.0,3851.0,698.0
851,5.0,0.0,1.0,1,shot - 51,0,40.0,2.0,92.0,9.0,1102.0,3851.0,698.0
1220,1.0,0.0,0.0,0,0,shot - 3,62.7,10.0,92.0,5.0,1102.0,3851.0,698.0
1230,3.0,0.0,0.0,0,shot - 28,0,40.0,2.0,92.0,5.0,1102.0,3851.0,698.0
286,3.0,0.0,0.0,0,shot - 45,0,50.7,11.0,467.0,10.0,1102.0,3851.0,698.0
776,4.0,0.0,0.0,1,0,shot - 3,41.0,4.0,467.0,8.0,1102.0,3851.0,698.0
114,1.0,0.0,0.0,1,shot - 17,0,41.0,11.0,585.0,10.0,1102.0,3851.0,698.0
121,2.0,0.0,1.0,1,shot - 36,0,25.2,8.0,585.0,10.0,1102.0,3851.0,698.0
135,3.0,0.0,0.0,1,0,shot - 3,37.0,76.7616,585.0,10.0,1102.0,3851.0,698.0
629,1.0,0.0,1.0,0,0,shot - 3,93.4,10.0,585.0,17.0,1102.0,3851.0,698.0
645,3.0,0.0,0.0,0,shot - 23,0,39.0,6.0,585.0,17.0,1102.0,3851.0,698.0
866,2.0,0.0,1.0,1,0,shot - 3,38.0,38.64,585.0,10.0,1102.0,3851.0,698.0
873,4.0,0.0,1.0,1,shot - 48,0,47.2,10.0,585.0,10.0,1102.0,3851.0,698.0
109,4.0,0.0,0.0,0,0,shot - 3,36.0,45.64,672.0,9.0,1102.0,3851.0,698.0
338,1.0,0.0,1.0,1,shot - 13,0,41.7,5.0,672.0,14.0,1102.0,3851.0,698.0
364,4.0,0.0,1.0,1,0,shot - 3,40.0,109.64,672.0,14.0,1102.0,3851.0,698.0
26353,1.0,1.0,1.0,0,0,shot - 3,39.0,42.64,672.0,15.0,1102.0,3851.0,698.0
26356,2.0,1.0,0.0,0,shot - 10,0,39.0,51.64,672.0,15.0,1102.0,3851.0,698.0
26359,2.0,1.0,0.0,0,0,shot - 3,34.2,0.0,672.0,15.0,1102.0,3851.0,698.0
189,1.0,0.0,1.0,0,shot - 49,0,30.2,10.0,584.0,9.0,1102.0,3851.0,698.0
194,1.0,0.0,0.0,0,shot - 3,0,38.0,4.0,584.0,9.0,1102.0,3851.0,698.0
1193,1.0,0.0,1.0,0,0,shot - 3,29.7,113.2,584.0,15.0,1102.0,3851.0,698.0
167,1.0,0.0,0.0,0,0,shot - 3,41.0,112.64,617.0,7.0,1102.0,3851.0,698.0
188,5.0,0.0,1.0,0,shot - 11,0,41.0,97.64,617.0,7.0,1102.0,3851.0,698.0
1043,1.0,0.0,0.0,1,shot - 10,0,37.0,7.0,617.0,6.0,1102.0,3851.0,698.0
1045,1.0,0.0,0.0,1,shot - 25,0,38.0,3.0,617.0,6.0,1102.0,3851.0,698.0
26280,1.0,1.0,0.0,1,0,shot - 3,64.7,6.0,617.0,8.0,1102.0,3851.0,698.0
26301,2.0,1.0,0.0,0,shot - 0,0,37.0,11.0,617.0,9.0,1102.0,3851.0,698.0
26338,4.0,1.0,1.0,0,0,shot - 3,36.0,11.0,617.0,14.0,1102.0,3851.0,698.0
230,4.0,0.0,0.0,1,shot - 37,0,48.728,10.0,213.0,7.0,1102.0,3851.0,698.0
234,4.0,0.0,0.0,1,shot - 11,0,64.2,1.0,213.0,7.0,1102.0,3851.0,698.0
236,1.0,0.0,1.0,1,shot - 19,0,38.0,10.0,493.0,13.0,1102.0,3851.0,698.0
244,2.0,0.0,1.0,1,0,shot - 3,38.0,38.64,493.0,13.0,1102.0,3851.0,698.0
442,3.0,0.0,0.0,0,shot - 19,0,37.0,2.0,493.0,14.0,1102.0,3851.0,698.0
448,4.0,0.0,0.0,0,shot - 16,0,36.0,1.0,493.0,14.0,1102.0,3851.0,698.0
273,4.0,0.0,1.0,1,0,shot - 3,66.2,7.0,516.0,11.0,1102.0,3851.0,698.0
1004,3.0,0.0,0.0,0,0,shot - 3,38.0,9.0,516.0,5.0,1102.0,3851.0,698.0
1460,1.0,0.0,0.0,1,shot - 36,0,38.0,1.0,516.0,11.0,1102.0,3851.0,698.0
296,1.0,0.0,1.0,1,0,shot - 3,40.0,3.0,237.0,8.0,1102.0,3851.0,698.0
312,3.0,0.0,1.0,1,0,shot - 3,38.0,42.64,237.0,8.0,1102.0,3851.0,698.0
1171,4.0,0.0,0.0,0,shot - 47,0,38.0,4.0,237.0,8.0,1102.0,3851.0,698.0
477,4.0,0.0,0.0,1,0,shot - 3,40.0,11.0,297.0,8.0,1102.0,3851.0,698.0
905,1.0,0.0,0.0,0,shot - 31,0,39.364000000000004,7.0,297.0,3.0,1102.0,3851.0,698.0
383,3.0,0.0,1.0,1,shot - 52,0,40.0,84.64,443.0,12.0,1102.0,3851.0,698.0
655,1.0,0.0,1.0,0,shot - 52,0,36.0,11.0,443.0,9.0,1102.0,3851.0,698.0
671,4.0,0.0,1.0,0,0,shot - 3,41.0,94.64,443.0,9.0,1102.0,3851.0,698.0
410,3.0,0.0,1.0,1,shot - 22,0,25.7,6.0,259.0,12.0,1102.0,3851.0,698.0
26462,3.0,1.0,0.0,1,shot - 40,0,63.2,7.0,259.0,6.0,1102.0,3851.0,698.0
26496,1.0,1.0,0.0,0,0,shot - 3,36.0,88.64,259.0,11.0,1102.0,3851.0,698.0
26498,1.0,1.0,0.0,0,0,shot - 3,36.0,8.0,259.0,11.0,1102.0,3851.0,698.0
26539,1.0,1.0,0.0,0,0,shot - 3,39.0,80.64,259.0,7.0,1102.0,3851.0,698.0
482,1.0,0.0,0.0,1,0,shot - 3,40.0,9.0,246.0,11.0,1102.0,3851.0,698.0
1355,4.0,0.0,0.0,0,shot - 34,0,38.0,3.0,246.0,13.0,1102.0,3851.0,698.0
1269,1.0,0.0,0.0,1,shot - 1,0,36.7,9.0,240.0,9.0,1102.0,3851.0,698.0
1284,3.0,0.0,1.0,1,0,shot - 3,46.2,5.0,240.0,9.0,1102.0,3851.0,698.0
622,3.0,0.0,1.0,0,shot - 36,0,40.0,1.0,216.0,9.0,1102.0,3851.0,698.0
878,1.0,0.0,0.0,1,shot - 45,0,41.0,3.0,216.0,9.0,1102.0,3851.0,698.0
695,1.0,0.0,0.0,0,shot - 29,0,43.0,10.0,654.0,11.0,1102.0,3851.0,698.0
