,shot_id_number,power_of_shot,knockout_match,game_season,is_goal,area_of_shot,shot_basics,date_of_game,home/away,lat/lng,type_of_shot,type_of_combined_shot,match_id,distance_of_shot_avg,remaining_min_1
58,59,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-05,LAC,1,0,shot - 1,20000049,20.0,52.2
60,61,2.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-05,LAC,1,shot - 36,0,20000049,31.0,2.0
62,63,3.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-05,LAC,1,0,shot - 4,20000049,20.0,9.0
63,64,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-05,LAC,1,0,shot - 4,20000049,25.0,0.0
64,65,3.0,0.0,2000-01,1.0,Right Side(R),U,2000-11-05,LAC,1,shot - 44,0,20000049,32.0,0.0
67,68,1.0,0.0,2000-01,0.0,Right Side(R),Right Corner,2000-11-07,HOU,0,shot - 21,0,20000058,43.0,8.0
68,69,1.0,0.0,2000-01,1.0,U,Goal Area,2000-11-07,HOU,0,shot - 4,0,20000058,20.0,7.0
69,70,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-07,HOU,0,0,shot - 1,20000058,20.0,7.0
72,73,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-07,HOU,0,0,shot - 4,20000058,20.0,7.0
73,74,2.0,0.0,2000-01,0.0,Center(C),U,2000-11-07,HOU,0,shot - 0,0,20000058,27.0,2.0
74,75,2.0,0.0,2000-01,0.0,Right Side Center(RC),Penalty Spot,2000-11-07,HOU,0,shot - 1,0,20000058,45.0,0.0
76,77,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-07,HOU,0,shot - 1,0,20000058,25.0,9.0
77,78,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-07,HOU,0,shot - 36,0,20000058,33.0,7.0
78,79,3.0,0.0,2000-01,0.0,Left Side(L),Goal Line,2000-11-07,HOU,0,shot - 2,0,20000058,28.0,66.64
80,81,4.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-07,HOU,0,shot - 20,0,20000058,33.0,5.0
81,82,4.0,0.0,2000-01,0.0,Center(C),Mid Range,2000-11-07,HOU,0,0,shot - 3,20000058,41.2,0.0
82,83,1.0,0.0,2000-01,0.0,Right Side Center(RC),Penalty Spot,2000-11-08,SAS,0,shot - 15,0,20000068,44.0,11.0
83,84,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-08,SAS,0,shot - 12,0,20000068,20.0,10.0
87,88,1.0,0.0,2000-01,1.0,Center(C),U,2000-11-08,SAS,0,shot - 10,0,20000068,39.0,5.0
88,89,1.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,35.0,2.0
89,90,1.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-08,SAS,0,shot - 15,0,20000068,34.0,1.0
90,91,1.0,0.0,2000-01,1.0,Center(C),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,35.0,1.0
92,93,2.0,0.0,2000-01,0.0,Right Side(R),U,2000-11-08,SAS,0,0,shot - 3,20000068,33.0,10.0
93,94,2.0,0.0,2000-01,0.0,Right Side(R),U,2000-11-08,SAS,0,shot - 49,0,20000068,35.0,9.0
95,96,2.0,0.0,2000-01,1.0,Center(C),Penalty Spot,2000-11-08,SAS,0,0,shot - 3,20000068,50.2,3.0
97,98,2.0,0.0,2000-01,0.0,Left Side Center(LC),Penalty Spot,2000-11-08,SAS,0,shot - 51,0,20000068,44.0,116.64
98,99,3.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,34.0,0.0
99,100,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-08,SAS,0,0,shot - 3,20000068,24.0,90.2
100,101,3.0,0.0,2000-01,0.0,Center(C),Mid Range,2000-11-08,SAS,0,shot - 0,0,20000068,35.0,9.0
101,102,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-08,SAS,0,0,shot - 1,20000068,20.0,7.0
102,103,3.0,0.0,2000-01,1.0,Right Side Center(RC),U,2000-11-08,SAS,0,shot - 54,0,20000068,37.0,6.0
104,105,3.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-08,SAS,0,shot - 15,0,20000068,32.0,3.0
105,106,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,39.0,0.0
106,107,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,70.86399999999999,0.0
107,108,4.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-08,SAS,0,0,shot - 3,20000068,31.0,10.0
108,109,4.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,36.0,45.64
109,110,4.0,0.0,2000-01,1.0,Left Side(L),Mid Range,2000-11-08,SAS,0,0,shot - 3,20000068,36.0,6.0
110,111,4.0,0.0,2000-01,0.0,Left Side(L),Goal Line,2000-11-08,SAS,0,0,shot - 3,20000068,29.0,5.0
111,112,4.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-08,SAS,0,0,shot - 3,20000068,27.0,3.0
113,114,1.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-12,HOU,1,shot - 17,0,20000098,41.0,11.0
114,115,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-12,HOU,1,shot - 4,0,20000098,20.0,10.0
115,116,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-12,HOU,1,shot - 46,0,20000098,20.0,9.0
116,117,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-12,HOU,1,0,shot - 5,20000098,20.0,9.0
117,118,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-12,HOU,1,0,shot - 1,20000098,20.0,3.0
118,119,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-12,HOU,1,0,shot - 4,20000098,20.0,102.64
119,120,1.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-11-12,HOU,1,0,shot - 3,20000098,36.0,0.0
120,121,2.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-11-12,HOU,1,shot - 36,0,20000098,25.2,8.0
123,124,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-12,HOU,1,shot - 54,0,20000098,61.2,0.0
124,125,2.0,0.0,2000-01,1.0,Center(C),Penalty Spot,2000-11-12,HOU,1,0,shot - 3,20000098,47.0,0.0
126,127,3.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-12,HOU,1,0,shot - 3,20000098,35.0,8.0
127,128,3.0,0.0,2000-01,1.0,Left Side(L),Mid Range,2000-11-12,HOU,1,0,shot - 3,20000098,35.0,5.0
128,129,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-12,HOU,1,shot - 42,0,20000098,35.0,4.0
129,130,3.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-12,HOU,1,shot - 12,0,20000098,37.0,54.64
130,131,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-12,HOU,1,shot - 21,0,20000098,29.0,3.0
131,132,3.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-12,HOU,1,0,shot - 3,20000098,31.0,3.0
134,135,3.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-12,HOU,1,0,shot - 3,20000098,37.0,76.7616
135,136,4.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-12,HOU,1,0,shot - 3,20000098,24.0,10.0
136,137,4.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-12,HOU,1,0,shot - 3,20000098,66.7,6.0
137,138,4.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-12,HOU,1,shot - 17,0,20000098,32.7,4.0
138,139,4.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-12,HOU,1,0,shot - 1,20000098,28.7,3.0
139,140,4.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-12,HOU,1,shot - 44,0,20000098,25.0,1.0
141,142,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-12,HOU,1,0,shot - 5,20000098,20.0,1.0
142,143,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-14,DEN,1,shot - 4,0,20000108,20.0,7.0
144,145,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-14,DEN,1,0,shot - 1,20000108,20.0,3.0
145,146,1.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-14,DEN,1,0,shot - 3,20000108,32.0,2.0
146,147,1.0,0.0,2000-01,1.0,Left Side(L),Mid Range,2000-11-14,DEN,1,shot - 0,0,20000108,33.0,0.0
147,148,2.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-14,DEN,1,shot - 11,0,20000108,38.0,11.0
148,149,2.0,0.0,2000-01,0.0,Right Side Center(RC),Penalty Spot,2000-11-14,DEN,1,0,shot - 3,20000108,47.0,10.0
150,151,2.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-14,DEN,1,0,shot - 3,20000108,40.0,9.0
153,154,2.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-14,DEN,1,shot - 39,0,20000108,20.0,1.0
154,155,2.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-14,DEN,1,shot - 4,0,20000108,20.0,36.64
156,157,3.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-11-14,DEN,1,0,shot - 3,20000108,40.0,10.0
157,158,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-14,DEN,1,0,shot - 3,20000108,27.0,5.0
159,160,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-14,DEN,1,shot - 32,0,20000108,20.0,109.2
160,161,4.0,0.0,2000-01,1.0,Right Side Center(RC),Penalty Spot,2000-11-14,DEN,1,0,shot - 3,20000108,45.0,112.64
161,162,4.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-14,DEN,1,0,shot - 4,20000108,20.0,10.0
162,163,4.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-14,DEN,1,shot - 12,0,20000108,20.0,10.0
163,164,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-14,DEN,1,shot - 39,0,20000108,20.0,5.0
165,166,1.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-16,SAC,0,shot - 54,0,20000124,41.0,11.0
166,167,1.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-16,SAC,0,0,shot - 3,20000124,41.0,112.64
167,168,1.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-16,SAC,0,0,shot - 3,20000124,36.0,8.0
168,169,1.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-16,SAC,0,0,shot - 3,20000124,27.0,8.0
169,170,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-16,SAC,0,0,shot - 4,20000124,20.0,7.0
170,171,1.0,0.0,2000-01,1.0,U,Goal Line,2000-11-16,SAC,0,shot - 12,0,20000124,25.0,2.0
172,173,1.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-16,SAC,0,shot - 2,0,20000124,40.0,1.0
173,174,2.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-16,SAC,0,shot - 11,0,20000124,41.0,8.0
174,175,2.0,0.0,2000-01,1.0,Right Side(R),Mid Range,2000-11-16,SAC,0,0,shot - 3,20000124,36.0,102.64
175,176,2.0,0.0,2000-01,0.0,U,Mid Range,2000-11-16,SAC,0,0,shot - 3,20000124,46.2,75.64
176,177,2.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-16,SAC,0,0,shot - 3,20000124,36.0,0.0
177,178,2.0,0.0,2000-01,0.0,Mid Ground(MG),Mid Ground Line,2000-11-16,SAC,0,0,shot - 3,20000124,67.0,0.0
178,179,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-16,SAC,0,0,shot - 3,20000124,33.0,8.0
179,180,3.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-16,SAC,0,shot - 36,0,20000124,39.0,25.64
180,181,3.0,0.0,2000-01,0.0,Right Side Center(RC),Penalty Spot,2000-11-16,SAC,0,0,shot - 3,20000124,44.0,0.0
182,183,4.0,0.0,2000-01,0.0,Center(C),Penalty Spot,2000-11-16,SAC,0,0,shot - 3,20000124,27.2,9.0
183,184,4.0,0.0,2000-01,0.0,Left Side Center(LC),Penalty Spot,2000-11-16,SAC,0,0,shot - 3,20000124,59.7,5.0
184,185,4.0,0.0,2000-01,1.0,U,Penalty Spot,2000-11-16,SAC,0,shot - 24,0,20000124,40.2,0.0
185,186,5.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-16,SAC,0,shot - 46,0,20000124,29.0,2.0
186,187,5.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-16,SAC,0,shot - 4,0,20000124,30.0,2.0
187,188,5.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-11-16,SAC,0,shot - 11,0,20000124,41.0,97.64
188,189,1.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-11-18,DEN,0,shot - 49,0,20000140,30.2,10.0
189,190,1.0,0.0,2000-01,0.0,Right Side Center(RC),U,2000-11-18,DEN,0,0,shot - 3,20000140,45.0,9.0
190,191,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-18,DEN,0,shot - 4,0,20000140,20.0,8.0
193,194,1.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-18,DEN,0,shot - 3,0,20000140,38.0,4.0
194,195,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-18,DEN,0,shot - 1,0,20000140,33.2,4.0
196,197,2.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-18,DEN,0,0,shot - 3,20000140,55.2,11.0
197,198,2.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-18,DEN,0,0,shot - 3,20000140,39.0,6.0
198,199,2.0,0.0,2000-01,1.0,Right Side Center(RC),Penalty Spot,2000-11-18,DEN,0,shot - 53,0,20000140,45.0,6.0
199,200,2.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-18,DEN,0,0,shot - 3,20000140,36.0,43.64
200,201,3.0,0.0,2000-01,0.0,Left Side Center(LC),Penalty Spot,2000-11-18,DEN,0,0,shot - 3,20000140,49.0,11.0
202,203,3.0,0.0,2000-01,0.0,Right Side(R),Mid Range,2000-11-18,DEN,0,0,shot - 3,20000140,36.0,8.0
203,204,3.0,0.0,2000-01,1.0,Center(C),Mid Range,2000-11-18,DEN,0,0,shot - 3,20000140,35.0,6.0
205,206,3.0,0.0,2000-01,1.0,Right Side(R),Right Corner,2000-11-18,DEN,0,shot - 5,0,20000140,43.0,3.0
206,207,3.0,0.0,2000-01,1.0,Left Side(L),Left Corner,2000-11-18,DEN,0,shot - 36,0,20000140,46.707029,0.0
207,208,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-18,DEN,0,shot - 4,0,20000140,20.0,11.0
208,209,4.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-18,DEN,0,shot - 24,0,20000140,20.0,7.0
211,212,4.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-18,DEN,0,0,shot - 3,20000140,28.0,1.0
212,213,4.0,0.0,2000-01,0.0,U,Goal Line,2000-11-18,DEN,0,0,shot - 3,20000140,24.2,83.2
213,214,1.0,0.0,2000-01,0.0,Center(C),Penalty Spot,2000-11-19,CHI,1,0,shot - 3,20000147,44.0,9.0
214,215,1.0,0.0,2000-01,0.0,U,Goal Line,2000-11-19,CHI,1,shot - 41,0,20000147,42.864,6.0
215,216,1.0,0.0,2000-01,1.0,U,Goal Area,2000-11-19,CHI,1,shot - 12,0,20000147,36.2,46.64
216,217,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-19,CHI,1,shot - 39,0,20000147,20.0,64.64
217,218,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-19,CHI,1,shot - 12,0,20000147,20.0,60.2
218,219,2.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-11-19,CHI,1,shot - 54,0,20000147,37.0,6.0
219,220,2.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-11-19,CHI,1,0,shot - 3,20000147,43.0,112.64
220,221,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-19,CHI,1,0,shot - 1,20000147,20.0,11.0
221,222,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-19,CHI,1,shot - 39,0,20000147,20.0,10.0
222,223,3.0,0.0,2000-01,0.0,Right Side Center(RC),Mid Range,2000-11-19,CHI,1,0,shot - 3,20000147,38.0,9.0
223,224,3.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-19,CHI,1,shot - 45,0,20000147,40.0,7.0
224,225,3.0,0.0,2000-01,0.0,Center(C),Goal Line,2000-11-19,CHI,1,shot - 40,0,20000147,32.0,6.0
225,226,3.0,0.0,2000-01,1.0,Left Side(L),Goal Line,2000-11-19,CHI,1,shot - 44,0,20000147,31.0,44.7616
226,227,3.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-19,CHI,1,0,shot - 4,20000147,20.0,1.0
228,229,4.0,0.0,2000-01,0.0,Right Side Center(RC),Penalty Spot,2000-11-19,CHI,1,0,shot - 3,20000147,47.0,11.0
229,230,4.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-19,CHI,1,shot - 37,0,20000147,48.728,10.0
230,231,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-19,CHI,1,0,shot - 4,20000147,20.0,10.0
231,232,4.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-19,CHI,1,0,shot - 4,20000147,20.0,10.0
232,233,4.0,0.0,2000-01,1.0,Center(C),Goal Line,2000-11-19,CHI,1,0,shot - 3,20000147,28.0,2.0
233,234,4.0,0.0,2000-01,0.0,Left Side Center(LC),Mid Range,2000-11-19,CHI,1,shot - 11,0,20000147,64.2,1.0
234,235,4.0,0.0,2000-01,0.0,Left Side(L),Mid Range,2000-11-19,CHI,1,shot - 45,0,20000147,41.0,0.0
235,236,1.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-11-22,GSW,1,shot - 19,0,20000168,38.0,10.0
236,237,1.0,0.0,2000-01,0.0,Center(C),Mid Range,2000-11-22,GSW,1,0,shot - 3,20000168,38.0,8.0
237,238,1.0,0.0,2000-01,0.0,Center(C),Penalty Spot,2000-11-22,GSW,1,0,shot - 3,20000168,45.0,4.0
238,239,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,shot - 4,0,20000168,20.0,2.0
239,240,1.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-22,GSW,1,0,shot - 4,20000168,20.0,2.0
240,241,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,shot - 12,0,20000168,20.0,2.0
241,242,1.0,0.0,2000-01,1.0,Right Side Center(RC),Penalty Spot,2000-11-22,GSW,1,shot - 5,0,20000168,45.2,1.0
242,243,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,0,shot - 1,20000168,40.7,10.0
243,244,2.0,0.0,2000-01,1.0,Left Side Center(LC),Mid Range,2000-11-22,GSW,1,0,shot - 3,20000168,38.0,38.64
244,245,2.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,0,shot - 1,20000168,54.2,3.0
245,246,2.0,0.0,2000-01,1.0,Right Side Center(RC),Mid Range,2000-11-22,GSW,1,shot - 6,0,20000168,38.0,2.0
246,247,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,0,shot - 1,20000168,20.0,9.0
247,248,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,shot - 4,0,20000168,88.4,9.0
248,249,3.0,0.0,2000-01,1.0,Right Side Center(RC),Penalty Spot,2000-11-22,GSW,1,shot - 52,0,20000168,46.0,6.0
250,251,3.0,0.0,2000-01,0.0,Right Side(R),U,2000-11-22,GSW,1,0,shot - 3,20000168,36.0,5.0
251,252,3.0,0.0,2000-01,0.0,Center(C),Goal Area,2000-11-22,GSW,1,shot - 39,0,20000168,20.0,2.0
252,253,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,0,shot - 4,20000168,20.0,2.0
253,254,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-22,GSW,1,shot - 39,0,20000168,20.0,1.0
254,255,1.0,0.0,2000-01,0.0,Center(C),U,2000-11-24,MIN,1,shot - 16,0,20000180,27.0,10.0
255,256,1.0,0.0,2000-01,1.0,U,Mid Range,2000-11-24,MIN,1,shot - 44,0,20000180,30.0,7.0
257,258,1.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-24,MIN,1,0,shot - 4,20000180,42.7,5.0
258,259,1.0,0.0,2000-01,1.0,Right Side(R),Goal Line,2000-11-24,MIN,1,shot - 30,0,20000180,31.0,3.0
260,261,1.0,0.0,2000-01,1.0,Left Side(L),Mid Range,2000-11-24,MIN,1,shot - 7,0,20000180,60.86400000000001,1.0
262,263,3.0,0.0,2000-01,1.0,Center(C),Goal Area,2000-11-24,MIN,1,shot - 56,0,20000180,20.0,41.2
264,265,3.0,0.0,2000-01,0.0,Left Side Center(LC),U,2000-11-24,MIN,1,0,shot - 3,20000180,40.0,6.0
